old_rpc,v2_rpcs,status,semantic_obligation
AgentService.ListAgentRuns,RunService.ObserveRuns,native_contract,"Expose typed views, stable IDs and navigability; raw forensic material is a separate opt-in facet."
AgentService.GetAgentRun,RunService.ObserveRuns,native_contract,"Expose typed views, stable IDs and navigability; raw forensic material is a separate opt-in facet."
AgentService.ListAgentTimelineEvents,RunService.ObserveRuns,native_contract,"Expose typed views, stable IDs and navigability; raw forensic material is a separate opt-in facet."
AgentService.WatchAgentRun,RunService.ObserveRuns,native_contract,"Expose typed views, stable IDs and navigability; raw forensic material is a separate opt-in facet."
AgentService.ControlAgent,RunService.ControlRun,native_contract,Commands explicitly target an execution device/checkout and bind to exact capability and action.
AgentService.DecideAgentPermission,RunService.DecidePermission,native_contract,Commands explicitly target an execution device/checkout and bind to exact capability and action.
AgentService.GetAgentCommand,RunService.ObserveRuns,native_contract,Commands explicitly target an execution device/checkout and bind to exact capability and action.
AgentService.GetAgentPolicy,RunService.ObserveRuns,native_contract,"Align signed delegation, retention/disclosure separation and user-root authority before committing to existing shapes."
AgentService.UpdateAgentPolicy,RunService.PutRunPolicy,native_contract,"Align signed delegation, retention/disclosure separation and user-root authority before committing to existing shapes."
AgentService.ListHarnessPreferences,RunService.ObserveRuns,native_contract,"Align signed delegation, retention/disclosure separation and user-root authority before committing to existing shapes."
AgentService.DeleteHarnessPreference,RunService.PutRunPolicy,native_contract,"Align signed delegation, retention/disclosure separation and user-root authority before committing to existing shapes."
AgentGatewayService.Connect,SyncService.Publish;RunService.ObserveRuns;RunService.ControlRun,native_contract,"Keep distinct durable replication, ephemeral activity and delivery lifecycles over shared connections."
AttentionService.GetFeedSnapshot,AttentionService.ObserveAttention,native_contract,Page beyond current cap; attach enough typed target data to render/action cards without hydration fan-out.
AttentionService.RecordInteraction,AttentionService.RecordInteraction,native_contract,Preserve interaction and resolution semantics separately from underlying discussion/thread records.
AttentionService.StreamFeed,AttentionService.ObserveAttention,native_contract,Page beyond current cap; attach enough typed target data to render/action cards without hydration fan-out.
AttentionService.UpdateFeedItem,AttentionService.SetAttentionState,native_contract,Preserve interaction and resolution semantics separately from underlying discussion/thread records.
AttestationService.RecordSignature,EvidenceService.RecordEvidence,native_contract,Cryptographic evidence recording/verification is distinct from review opinion and owner authorization.
AttestationService.VerifySignature,EvidenceService.VerifyEvidence,native_contract,Cryptographic evidence recording/verification is distinct from review opinion and owner authorization.
CollaborationService.AppendTurn,CollaborationService.AppendTurn,native_contract,"Use stable local IDs, causal operation identities, idempotency and explicit local/hosted acceptance."
CollaborationService.GetDiscussion,CollaborationService.ObserveCollaboration,native_contract,"Use stable local IDs, causal operation identities, idempotency and explicit local/hosted acceptance."
CollaborationService.ListByState,CollaborationService.ObserveCollaboration,native_contract,"One paged query vocabulary for thread, revision and semantic anchors; replace planned batching with a delivered view."
CollaborationService.ListBySymbol,CollaborationService.ObserveCollaboration,native_contract,"One paged query vocabulary for thread, revision and semantic anchors; replace planned batching with a delivered view."
CollaborationService.ListByThreadRef,CollaborationService.ObserveCollaboration,native_contract,"One paged query vocabulary for thread, revision and semantic anchors; replace planned batching with a delivered view."
CollaborationService.ListDiscussionsByStates,CollaborationService.ObserveCollaboration,native_contract,"One paged query vocabulary for thread, revision and semantic anchors; replace planned batching with a delivered view."
CollaborationService.OpenDiscussion,CollaborationService.OpenDiscussion,native_contract,"Use stable local IDs, causal operation identities, idempotency and explicit local/hosted acceptance."
