service,method,declared_maturity,candidate_disposition,proposed_surface,reason
AgentService,ListAgentRuns,PLANNED,replace planned hosted-only reads,Run/timeline projections from device or Weft,"Expose typed views, stable IDs and navigability; raw forensic material is a separate opt-in facet."
AgentService,GetAgentRun,PLANNED,replace planned hosted-only reads,Run/timeline projections from device or Weft,"Expose typed views, stable IDs and navigability; raw forensic material is a separate opt-in facet."
AgentService,ListAgentTimelineEvents,PLANNED,replace planned hosted-only reads,Run/timeline projections from device or Weft,"Expose typed views, stable IDs and navigability; raw forensic material is a separate opt-in facet."
AgentService,WatchAgentRun,PLANNED,replace planned hosted-only reads,Run/timeline projections from device or Weft,"Expose typed views, stable IDs and navigability; raw forensic material is a separate opt-in facet."
AgentService,ControlAgent,PLANNED,replace planned target model,Device execution/control,Commands explicitly target an execution device/checkout and bind to exact capability and action.
AgentService,DecideAgentPermission,PLANNED,replace planned target model,Device execution/control,Commands explicitly target an execution device/checkout and bind to exact capability and action.
AgentService,GetAgentCommand,PLANNED,replace planned target model,Device execution/control,Commands explicitly target an execution device/checkout and bind to exact capability and action.
AgentService,GetAgentPolicy,PLANNED,reassess planned semantics,Agent policy and preferences,"Align signed delegation, retention/disclosure separation and user-root authority before committing to existing shapes."
AgentService,UpdateAgentPolicy,PLANNED,reassess planned semantics,Agent policy and preferences,"Align signed delegation, retention/disclosure separation and user-root authority before committing to existing shapes."
AgentService,ListHarnessPreferences,PLANNED,reassess planned semantics,Agent policy and preferences,"Align signed delegation, retention/disclosure separation and user-root authority before committing to existing shapes."
AgentService,DeleteHarnessPreference,PLANNED,reassess planned semantics,Agent policy and preferences,"Align signed delegation, retention/disclosure separation and user-root authority before committing to existing shapes."
AgentGatewayService,Connect,PLANNED,replace planned all-purpose stream,"Facet sync, presence and command delivery","Keep distinct durable replication, ephemeral activity and delivery lifecycles over shared connections."
AttentionService,GetFeedSnapshot,SHIPPED,consolidate snapshot/update shape,Attention view,Page beyond current cap; attach enough typed target data to render/action cards without hydration fan-out.
AttentionService,RecordInteraction,SHIPPED,retain semantic operation,User attention overlays,Preserve interaction and resolution semantics separately from underlying discussion/thread records.
AttentionService,StreamFeed,SHIPPED,consolidate snapshot/update shape,Attention view,Page beyond current cap; attach enough typed target data to render/action cards without hydration fan-out.
AttentionService,UpdateFeedItem,SHIPPED,retain semantic operation,User attention overlays,Preserve interaction and resolution semantics separately from underlying discussion/thread records.
AttestationService,RecordSignature,SHIPPED,retain semantic operation,Evidence signatures,Cryptographic evidence recording/verification is distinct from review opinion and owner authorization.
AttestationService,VerifySignature,SHIPPED,retain semantic operation,Evidence signatures,Cryptographic evidence recording/verification is distinct from review opinion and owner authorization.
CollaborationService,AppendTurn,SHIPPED,retain and align durable operation,Collaboration records,"Use stable local IDs, causal operation identities, idempotency and explicit local/hosted acceptance."
CollaborationService,GetDiscussion,SHIPPED,retain and align durable operation,Collaboration records,"Use stable local IDs, causal operation identities, idempotency and explicit local/hosted acceptance."
CollaborationService,ListByState,SHIPPED,consolidate typed selectors,Query discussions / thread-view discussion section,"One paged query vocabulary for thread, revision and semantic anchors; replace planned batching with a delivered view."
CollaborationService,ListBySymbol,SHIPPED,consolidate typed selectors,Query discussions / thread-view discussion section,"One paged query vocabulary for thread, revision and semantic anchors; replace planned batching with a delivered view."
CollaborationService,ListByThreadRef,SHIPPED,consolidate typed selectors,Query discussions / thread-view discussion section,"One paged query vocabulary for thread, revision and semantic anchors; replace planned batching with a delivered view."
CollaborationService,ListDiscussionsByStates,PLANNED,consolidate typed selectors,Query discussions / thread-view discussion section,"One paged query vocabulary for thread, revision and semantic anchors; replace planned batching with a delivered view."
CollaborationService,OpenDiscussion,SHIPPED,retain and align durable operation,Collaboration records,"Use stable local IDs, causal operation identities, idempotency and explicit local/hosted acceptance."
CollaborationService,ResolveDiscussion,SHIPPED,retain and align durable operation,Collaboration records,"Use stable local IDs, causal operation identities, idempotency and explicit local/hosted acceptance."
IdentityService,ApproveDeviceAuthorization,SHIPPED,replace,Portable device enrollment and optional rendezvous,User-root attachment and possession proof must survive without Weft; hosted rendezvous is optional assistance.
IdentityService,BeginRecovery,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,BeginWebAuthnAuthentication,SHIPPED,retain and revise,Identity ceremonies,Retain ceremony boundaries; return or accept portable root/device bindings rather than relying only on registry membership.
IdentityService,BeginWebAuthnRegistration,SHIPPED,retain and revise,Identity ceremonies,Retain ceremony boundaries; return or accept portable root/device bindings rather than relying only on registry membership.
IdentityService,BindSignupInviteEmail,PLANNED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,ClaimNextDropCode,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,ClaimSignupInvite,PLANNED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,ClaimHandle,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,CompleteRecovery,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,CreateSignupInvite,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,ListSignupInvites,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,CreateAgentAccount,PLANNED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,CreateDeviceAuthorization,SHIPPED,replace,Portable device enrollment and optional rendezvous,User-root attachment and possession proof must survive without Weft; hosted rendezvous is optional assistance.
IdentityService,CreateServiceAccount,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,DeclareRecoveryMethod,SHIPPED,retain semantic operation,"Identity, account and credential lifecycle","Do not collapse distinct signup, recovery, credential, session, handle or invitation semantics merely to reduce method count."
IdentityService,ExchangeDeviceAuthorization,SHIPPED,replace,Portable device enrollment and optional rendezvous,User-root attachment and possession proof must survive without Weft; hosted rendezvous is optional assistance.
